time			Ix(U40:VDD)
0.000000000000000e+000	-5.344891e-011
6.249999649765581e-012	7.161704e-008
1.249999929953116e-011	9.550813e-008
4.999999719812465e-011	9.551508e-008
9.999999439624929e-011	9.552387e-008
1.999999887924986e-010	9.554142e-008
3.999999775849972e-010	9.557642e-008
7.999999551699943e-010	9.564599e-008
1.599999910339989e-009	9.578345e-008
3.199999820679977e-009	9.605180e-008
6.399999641359955e-009	9.656399e-008
1.279999928271991e-008	9.750752e-008
2.504000078172659e-008	9.914955e-008
3.233192248759237e-008	9.459591e-008
3.662080098810760e-008	-3.241893e-007
3.929556720516239e-008	-2.007924e-006
4.158476512788209e-008	-6.041941e-006
4.366919820484102e-008	-1.310232e-005
4.598910990349083e-008	-2.560086e-005
4.814697770123020e-008	-4.226132e-005
5.045443303294635e-008	-6.420071e-005
5.262081309158796e-008	-8.436596e-005
5.460043029861515e-008	-9.874537e-005
5.658053439953297e-008	-1.085451e-004
5.872525501095092e-008	-1.153220e-004
6.113539485656793e-008	-1.192852e-004
6.386551007353576e-008	-1.207313e-004
6.653748626888586e-008	-1.209820e-004
6.901848840547525e-008	-1.211156e-004
7.168131875071814e-008	-1.212496e-004
7.700697944120391e-008	-1.214713e-004
8.554478692644581e-008	-1.217933e-004
8.781223287396292e-008	-1.218729e-004
9.234712476899713e-008	-1.220198e-004
1.000000000000000e-007	-1.222864e-004
1.005239045443599e-007	-1.225861e-004
1.015717136330798e-007	-1.228162e-004
1.036673318105196e-007	-1.228682e-004
1.078585681653991e-007	-1.228653e-004
4.999999999999998e-006	-1.228658e-004
5.100000000000000e-006	-1.228787e-004
5.100566333125671e-006	-1.228991e-004
5.101698999377014e-006	-1.229196e-004
5.103964331879699e-006	-1.229313e-004
5.108494996885069e-006	-1.229336e-004
5.115463990885885e-006	-1.229338e-004
5.128496029590210e-006	-1.229357e-004
5.141149677993871e-006	-1.228977e-004
5.148017106590780e-006	-1.225673e-004
5.152722414765918e-006	-1.220704e-004
5.155618374674433e-006	-1.218938e-004
5.159042660837898e-006	-1.218917e-004
5.162460410183297e-006	-1.218904e-004
5.169295908874093e-006	-1.218879e-004
5.182966906255686e-006	-1.218833e-004
5.187240020924411e-006	-1.218819e-004
5.188758232768424e-006	-1.218814e-004
5.190276444612435e-006	-1.218810e-004
5.191794656456448e-006	-1.218805e-004
5.193312868300459e-006	-1.218800e-004
5.194831080144472e-006	-1.218796e-004
5.196349291988483e-006	-1.218792e-004
5.197867503832496e-006	-1.218788e-004
5.200000000000000e-006	-1.218781e-004
5.200213249616751e-006	-1.218690e-004
5.200639748850252e-006	-1.218643e-004
5.201492747317254e-006	-1.218642e-004
5.203198744251257e-006	-1.218640e-004
5.206610738119265e-006	-1.218638e-004
1.000000000000000e-005	-1.218638e-004
1.000051622309509e-005	-1.218547e-004
1.000154866928527e-005	-1.218502e-004
1.000361356166562e-005	-1.218505e-004
1.000774334642633e-005	-1.218514e-004
1.001600291594776e-005	-1.218536e-004
1.002755464565188e-005	-1.218569e-004
1.004179595426763e-005	-1.218613e-004
1.004441830450843e-005	-1.218677e-004
1.004813830002062e-005	-1.221104e-004
1.005264111553346e-005	-1.226647e-004
1.005528117833991e-005	-1.227941e-004
1.005827525517835e-005	-1.227654e-004
1.006143860911168e-005	-1.227711e-004
1.006729031610314e-005	-1.227752e-004
1.007899373008606e-005	-1.227848e-004
1.008746144665410e-005	-1.227909e-004
1.010000000000000e-005	-1.227990e-004
1.010052621079949e-005	-1.228589e-004
1.010157863239846e-005	-1.229140e-004
1.010368347559640e-005	-1.229386e-004
1.010789316199229e-005	-1.229421e-004
1.011426367423006e-005	-1.229428e-004
1.012700469870559e-005	-1.229460e-004
1.013925527664166e-005	-1.229398e-004
1.014670299646358e-005	-1.223773e-004
1.015150840661323e-005	-1.214429e-004
1.015526605042430e-005	-1.209292e-004
1.015873348612923e-005	-1.208679e-004
1.016175052074380e-005	-1.208648e-004
1.016492735677893e-005	-1.208617e-004
1.016924489819845e-005	-1.208579e-004
1.017505940496587e-005	-1.208531e-004
1.018538811457204e-005	-1.208451e-004
1.018783598956573e-005	-1.208433e-004
1.019273173955311e-005	-1.208398e-004
1.020000000000000e-005	-1.208348e-004
1.020047375611372e-005	-1.208254e-004
1.020142126834116e-005	-1.208205e-004
1.020331629279605e-005	-1.208200e-004
1.020710634170582e-005	-1.208198e-004
1.510000000000000e-005	-1.208197e-004
1.510054514431257e-005	-1.208469e-004
1.510163543293771e-005	-1.208725e-004
1.510381601018798e-005	-1.208849e-004
1.510817716468852e-005	-1.208867e-004
1.511501294675414e-005	-1.208859e-004
1.512797025456151e-005	-1.208856e-004
1.514047224690060e-005	-1.208696e-004
1.514760907353881e-005	-1.205463e-004
1.515226140851912e-005	-1.200404e-004
1.515529697475464e-005	-1.198416e-004
1.515885984950209e-005	-1.198386e-004
1.516271375562223e-005	-1.198379e-004
1.517042156786251e-005	-1.198365e-004
1.518531113502570e-005	-1.198341e-004
1.520000000000000e-005	-1.198318e-004
1.520050247715972e-005	-1.198226e-004
1.520150743147916e-005	-1.198180e-004
1.520351734011803e-005	-1.198179e-004
1.520753715739579e-005	-1.198178e-004
2.000000000000000e-005	-1.198178e-004
2.000048540825213e-005	-1.197996e-004
2.000145622475637e-005	-1.197906e-004
2.000339785776486e-005	-1.197912e-004
2.000728112378183e-005	-1.197929e-004
2.001504765581578e-005	-1.197970e-004
2.002667511854162e-005	-1.198038e-004
2.004016571394833e-005	-1.198135e-004
2.004646277610179e-005	-1.204315e-004
