time,Ix(U40:VDD)
2.02E-05,"	-1.187778e-004"
2.02E-05,"	-1.187682e-004"
2.02E-05,"	-1.187629e-004"
2.02E-05,"	-1.187623e-004"
2.51E-05,"	-1.187618e-004"
2.51E-05,"	-1.187892e-004"
2.51E-05,"	-1.188149e-004"
2.51E-05,"	-1.188272e-004"
2.51E-05,"	-1.188293e-004"
2.51E-05,"	-1.188290e-004"
2.51E-05,"	-1.188298e-004"
2.51E-05,"	-1.188066e-004"
2.51E-05,"	-1.184805e-004"
2.52E-05,"	-1.179778e-004"
2.52E-05,"	-1.177870e-004"
2.52E-05,"	-1.177844e-004"
2.52E-05,"	-1.177813e-004"
2.52E-05,"	-1.177776e-004"
2.52E-05,"	-1.177771e-004"
2.52E-05,"	-1.177760e-004"
2.52E-05,"	-1.177740e-004"
2.52E-05,"	-1.177649e-004"
2.52E-05,"	-1.177602e-004"
2.52E-05,"	-1.177600e-004"
2.52E-05,"	-1.177599e-004"
3.00E-05,"	-1.177599e-004"
3.00E-05,"	-1.177508e-004"
3.00E-05,"	-1.177463e-004"
3.00E-05,"	-1.177465e-004"
3.00E-05,"	-1.177471e-004"
3.00E-05,"	-1.177485e-004"
3.00E-05,"	-1.177509e-004"
3.00E-05,"	-1.177540e-004"
3.00E-05,"	-1.179562e-004"
3.01E-05,"	-1.184504e-004"
3.01E-05,"	-1.186945e-004"
3.01E-05,"	-1.186712e-004"
3.01E-05,"	-1.186486e-004"
3.01E-05,"	-1.186684e-004"
3.01E-05,"	-1.186687e-004"
3.01E-05,"	-1.186755e-004"
3.01E-05,"	-1.186857e-004"
3.01E-05,"	-1.186943e-004"
3.01E-05,"	-1.187544e-004"
3.01E-05,"	-1.188098e-004"
3.01E-05,"	-1.188342e-004"
3.01E-05,"	-1.188369e-004"
3.01E-05,"	-1.188359e-004"
3.01E-05,"	-1.188358e-004"
3.01E-05,"	-1.188262e-004"
3.01E-05,"	-1.182637e-004"
3.02E-05,"	-1.173271e-004"
3.02E-05,"	-1.168139e-004"
3.02E-05,"	-1.167522e-004"
3.02E-05,"	-1.167502e-004"
3.02E-05,"	-1.167482e-004"
3.02E-05,"	-1.167457e-004"
3.02E-05,"	-1.167426e-004"
3.02E-05,"	-1.167374e-004"
3.02E-05,"	-1.167360e-004"
3.02E-05,"	-1.167332e-004"
3.02E-05,"	-1.167305e-004"
3.02E-05,"	-1.167212e-004"
3.02E-05,"	-1.167164e-004"
