time	Ix(U40:VDD)
1.519555408553336e-005	-6.703702e-004
1.519723293321262e-005	-6.703702e-004
1.520000000000000e-005	-6.703701e-004
1.520027670667874e-005	-6.703608e-004
1.520083012003622e-005	-6.703553e-004
1.520193694675117e-005	-6.703536e-004
1.520415060018108e-005	-6.703525e-004
1.989999999999997e-005	-6.703523e-004
2.000000000000000e-005	-6.703523e-004
2.000048496955805e-005	-6.703322e-004
2.000145490867414e-005	-6.703195e-004
2.000339478690632e-005	-6.703159e-004
2.000727454337069e-005	-6.703145e-004
2.001503405629942e-005	-6.703141e-004
2.002665168069655e-005	-6.703134e-004
2.003995129220001e-005	-6.703127e-004
2.005858011560014e-005	-6.703119e-004
2.006662230637102e-005	-6.703105e-004
2.007185463872033e-005	-6.705633e-004
2.007600509919604e-005	-6.716340e-004
2.008020705485778e-005	-6.742078e-004
2.008453773214550e-005	-6.782810e-004
2.008866298846966e-005	-6.829539e-004
2.009295562524133e-005	-6.880430e-004
2.010000000000000e-005	-6.962826e-004
2.010070443747587e-005	-6.951875e-004
2.010211331242760e-005	-6.936286e-004
2.010493106233107e-005	-6.916967e-004
2.011056656213801e-005	-6.885185e-004
2.011579024863289e-005	-6.857878e-004
2.012623762162264e-005	-6.813077e-004
2.013158176687130e-005	-6.799411e-004
2.013595542772665e-005	-6.795604e-004
2.014088107835650e-005	-6.794395e-004
2.014410382332736e-005	-6.794246e-004
2.014849867064492e-005	-6.794329e-004
2.015728836528004e-005	-6.794299e-004
2.017486775455028e-005	-6.794297e-004
2.018572451875182e-005	-6.794293e-004
2.020000000000000e-005	-6.794271e-004
2.020050049092446e-005	-6.794163e-004
2.020150147277337e-005	-6.794090e-004
2.020350343647118e-005	-6.794070e-004
2.504356683260474e-005	-6.794067e-004
2.510000000000000e-005	-6.794065e-004
2.510069444417026e-005	-6.788064e-004
2.510208333251078e-005	-6.777032e-004
2.510486110919181e-005	-6.757260e-004
2.511041666255389e-005	-6.722249e-004
2.511909284194744e-005	-6.680320e-004
2.512383092825350e-005	-6.669283e-004
2.512899387450855e-005	-6.667029e-004
2.513335511563598e-005	-6.666809e-004
2.513801687055523e-005	-6.666798e-004
2.514502572840320e-005	-6.666806e-004
2.515904344409914e-005	-6.666799e-004
2.517196456860813e-005	-6.666786e-004
2.517854411572985e-005	-6.666796e-004
2.518731684522548e-005	-6.666791e-004
2.520000000000000e-005	-6.666777e-004
2.520049525158563e-005	-6.666680e-004
2.520148575475689e-005	-6.666622e-004
2.520346676109939e-005	-6.666607e-004
2.994400084434462e-005	-6.666603e-004
3.000000000000000e-005	-6.666603e-004
3.000046544882895e-005	-6.666502e-004
3.000139634648684e-005	-6.666440e-004
3.000325814180262e-005	-6.666423e-004
3.000698173243418e-005	-6.666416e-004
3.001442891369730e-005	-6.666415e-004
3.002610423299980e-005	-6.666411e-004
3.003909159392836e-005	-6.666408e-004
3.005864885158515e-005	-6.666404e-004
3.006680153125552e-005	-6.666402e-004
3.007205837652826e-005	-6.666399e-004
3.007600471339457e-005	-6.667780e-004
3.007997806575000e-005	-6.674979e-004
3.008401653088061e-005	-6.691249e-004
3.008729012945472e-005	-6.710216e-004
3.009160101643940e-005	-6.738827e-004
3.009254007234018e-005	-6.745525e-004
3.009347912824096e-005	-6.752203e-004
3.009441818414174e-005	-6.758862e-004
3.009535724004253e-005	-6.765501e-004
3.009629629594331e-005	-6.772121e-004
3.009723535184409e-005	-6.778722e-004
3.009817440774487e-005	-6.785303e-004
3.010000000000000e-005	-6.797815e-004
3.010018255922552e-005	-6.795268e-004
3.010054767767654e-005	-6.790102e-004
3.010127791457859e-005	-6.781607e-004
3.010273838838270e-005	-6.769148e-004
3.010565933599090e-005	-6.748145e-004
3.011038110226132e-005	-6.716056e-004
3.011982463480215e-005	-6.657662e-004
3.012492690289341e-005	-6.633769e-004
3.012926333345271e-005	-6.622916e-004
3.013321878447814e-005	-6.619560e-004
3.013722751046296e-005	-6.618703e-004
3.014019706890865e-005	-6.618560e-004
3.014427706093832e-005	-6.618635e-004
3.015243704499765e-005	-6.618617e-004
3.016875701311630e-005	-6.618615e-004
3.018365280703087e-005	-6.618607e-004
3.018606906509518e-005	-6.618609e-004
3.019090158122381e-005	-6.618610e-004
3.020000000000000e-005	-6.618639e-004
3.020048121316289e-005	-6.618517e-004
3.020144363948867e-005	-6.618433e-004
3.020336849214023e-005	-6.618408e-004
3.510000000000001e-005	-6.618404e-004
3.510077757522874e-005	-6.610006e-004
3.510233272568621e-005	-6.594105e-004
3.510544302660115e-005	-6.564470e-004
3.511166362843103e-005	-6.510705e-004
3.512322620739615e-005	-6.431607e-004
3.512852874797738e-005	-6.413743e-004
3.513397676242308e-005	-6.410690e-004
3.513839457462857e-005	-6.410539e-004
3.514320245782489e-005	-6.410531e-004
