v1	Ix(U1:DRAIN)	Ix(U4:DRAIN)	Ix(U5:DRAIN)	Ix(U7:DRAIN)	Ix(U10:DRAIN)	Ix(U15:DRAIN)	Ix(U18:DRAIN)	Ix(U21:DRAIN)
4.100000000000001e+000	1.338562e-005	6.786630e-006	6.786630e-006	2.614744e-005	5.050210e-005	9.616318e-005	1.798101e-004	3.286580e-004
4.200000000000001e+000	1.410040e-005	7.158566e-006	7.158566e-006	2.751311e-005	5.307507e-005	1.009122e-004	1.883435e-004	3.434891e-004
4.300000000000001e+000	1.482956e-005	7.538650e-006	7.538650e-006	2.890411e-005	5.569102e-005	1.057297e-004	1.969768e-004	3.584462e-004
4.400000000000000e+000	1.557282e-005	7.926758e-006	7.926758e-006	3.031982e-005	5.834865e-005	1.106132e-004	2.057049e-004	3.735207e-004
4.500000000000000e+000	1.632991e-005	8.322774e-006	8.322774e-006	3.175965e-005	6.104666e-005	1.155600e-004	2.145231e-004	3.887040e-004
4.600000000000000e+000	1.710055e-005	8.726582e-006	8.726582e-006	3.322301e-005	6.378380e-005	1.205675e-004	2.234264e-004	4.039881e-004
4.699999999999999e+000	1.788450e-005	9.138073e-006	9.138073e-006	3.470932e-005	6.655885e-005	1.256334e-004	2.324104e-004	4.193651e-004
4.799999999999999e+000	1.868150e-005	9.557144e-006	9.557144e-006	3.621802e-005	6.937062e-005	1.307552e-004	2.414706e-004	4.348278e-004
4.899999999999999e+000	1.949132e-005	9.983696e-006	9.983696e-006	3.774857e-005	7.221793e-005	1.359307e-004	2.506028e-004	4.503690e-004
5.000000000000000e+000	2.031373e-005	1.041764e-005	1.041764e-005	3.930044e-005	7.509967e-005	1.411575e-004	2.598029e-004	4.659819e-004
