#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A18A17
#Date Time: 2019-04-23 17:39:09.384
#Trigger:Source: Channel 1Type: EdgeCondition: RisingLevel: 0 VHyst.: AutoHoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: -1 V
#Channel 2: Range: 1 V/div Offset: -1 V

Time (s),Channel 1 (V),Channel 2 (V)
-0.00258048,4.5000071556201151,2.4981878655809666
-0.0025798500000000003,4.5036900059345779,2.4981878655809666
-0.0025792200000000001,4.5000071556201151,2.5092342564159713
-0.00257859,4.5073728562490452,2.5129163866943061
-0.0025779600000000002,4.5110557065635071,2.5129163866943061
-0.0025773300000000001,4.5073728562490434,2.5129163866943061
-0.0025767000000000003,4.5036900059345815,2.516598516972639
-0.0025760700000000002,4.5036900059345797,2.520280647250976
-0.00257544,4.5073728562490434,2.5239627775293108
-0.0025748100000000003,4.5110557065635053,2.5276449078076437
-0.0025741800000000001,4.5110557065635071,2.5313270380859807
-0.00257355,4.5073728562490434,2.5276449078076455
-0.0025729200000000002,4.5073728562490434,2.5276449078076455
-0.0025722900000000001,4.5073728562490434,2.5239627775293108
-0.0025716599999999999,4.5073728562490434,2.5313270380859807
-0.0025710300000000002,4.5073728562490434,2.5313270380859807
-0.0025704,4.5073728562490434,2.5423734289209854
-0.0025697700000000003,4.5073728562490434,2.538691298642652
-0.0025691400000000001,4.5073728562490434,2.5423734289209854
-0.00256851,4.5110557065635071,2.5460555591993241
-0.0025678800000000002,4.5110557065635071,2.5534198197559901
-0.0025672500000000001,4.5110557065635071,2.5497376894776549
-0.0025666199999999999,4.5073728562490434,2.5534198197559901
-0.0025659900000000002,4.5073728562490434,2.5534198197559901
-0.00256536,4.5000071556201151,2.5571019500343253
-0.0025647300000000003,4.5036900059345779,2.5497376894776584
-0.0025641000000000001,4.5073728562490434,2.5571019500343253
-0.00256347,4.5073728562490434,2.5644662105909966
-0.0025628400000000003,4.5073728562490434,2.56814834086933
-0.0025622100000000001,4.5073728562490434,2.5718304711476647
-0.0025615799999999999,4.5110557065635071,2.5755126014259995
-0.0025609500000000002,4.5110557065635071,2.5755126014259995
-0.00256032,4.5110557065635071,2.5755126014259995
-0.0025596900000000003,4.5036900059345832,2.5791947317043329
-0.0025590600000000002,4.5000071556201151,2.5791947317043347
-0.00255843,4.5036900059345797,2.5828768619826694
-0.0025578000000000003,4.5073728562490434,2.5865589922610042
-0.0025571700000000001,4.5073728562490434,2.5865589922610042
-0.0025565399999999999,4.5110557065635071,2.5902411225393376
-0.0025559100000000002,4.5110557065635071,2.5865589922610042
-0.0025552800000000001,4.5184214071924353,2.5902411225393394
-0.0025546500000000003,4.5147385568779734,2.5939232528176723
-0.0025540200000000002,4.5073728562490434,2.5976053830960089
-0.00255339,4.5110557065635071,2.6012875133743441
-0.0025527600000000003,4.5110557065635071,2.6012875133743441
-0.0025521300000000001,4.5073728562490434,2.6012875133743441
-0.0025514999999999999,4.5036900059345797,2.6049696436526806
-0.0025508700000000002,4.5036900059345797,2.6086517739310136
-0.0025502400000000001,4.5073728562490434,2.6049696436526788
-0.0025496100000000003,4.5073728562490434,2.6086517739310118
-0.0025489800000000002,4.5036900059345797,2.6123339042093487
-0.00254835,4.5073728562490434,2.6160160344876835
-0.0025477200000000003,4.5036900059345815,2.6123339042093505
-0.0025470900000000001,4.5073728562490434,2.6196981647660182
-0.00254646,4.5036900059345797,2.616016034487687
-0.0025458300000000002,4.5036900059345797,2.6233802950443534
-0.0025452000000000001,4.5036900059345797,2.6233802950443534
-0.0025445700000000003,4.5110557065635035,2.6270624253226864
-0.0025439400000000002,4.5110557065635071,2.6307445556010229
-0.00254331,4.5110557065635071,2.6307445556010229
-0.0025426800000000003,4.5110557065635071,2.6307445556010229
-0.0025420500000000001,4.5110557065635071,2.6344266858793581
-0.00254142,4.5073728562490434,2.6417909464360294
-0.0025407900000000002,4.5073728562490434,2.6454730767143628
-0.0025401600000000001,4.5073728562490434,2.6454730767143628
-0.0025395300000000003,4.5073728562490434,2.6454730767143628
-0.0025389000000000002,4.5110557065635071,2.6491552069926976
-0.00253827,4.5073728562490434,2.6491552069926976
-0.0025376400000000003,4.5073728562490434,2.6491552069926976
-0.0025370100000000001,4.5110557065635071,2.6528373372710323
-0.00253638,4.5110557065635071,2.6528373372710323
-0.0025357500000000002,4.5110557065635071,2.6528373372710323
-0.0025351200000000001,4.5110557065635071,2.6602015978277023
-0.0025344899999999999,4.5073728562490434,2.660201597827704
-0.0025338600000000002,4.5073728562490434,2.663883728106037
-0.00253323,4.5036900059345797,2.6675658583843722
-0.0025326000000000003,4.5000071556201169,2.6712479886627056
-0.0025319700000000001,4.5036900059345797,2.6712479886627074
-0.00253134,4.5073728562490434,2.6712479886627056
-0.0025307100000000003,4.5073728562490434,2.6675658583843722
-0.0025300800000000001,4.5073728562490434,2.6675658583843722
-0.0025294499999999999,4.5073728562490416,2.6712479886627092
-0.0025288200000000002,4.5036900059345797,2.6749301189410417
-0.00252819,4.5036900059345797,2.6822943794977121
-0.0025275600000000003,4.5073728562490416,2.689658640054378
-0.0025269300000000001,4.5073728562490434,2.6933407703327168
-0.0025263,4.5073728562490434,2.6933407703327168
-0.0025256700000000003,4.5036900059345797,2.6933407703327168
-0.0025250400000000001,4.5036900059345797,2.6933407703327168
-0.0025244099999999999,4.5000071556201151,2.6933407703327186
-0.0025237800000000002,4.5000071556201151,2.6970229006110511
-0.00252315,4.5036900059345797,2.7007050308893863
