ix	I(Iz)
1.000000000000000e-008	1.532325e-010
1.258925411794167e-008	9.573431e-011
1.584893192461114e-008	4.867590e-011
1.995262314968880e-008	1.062039e-011
2.511886431509581e-008	7.663148e-012
3.162277660168381e-008	1.825884e-011
3.981071705534974e-008	4.439743e-011
5.011872336272726e-008	9.755918e-011
6.309573444801936e-008	1.965738e-010
7.943282347242821e-008	3.720745e-010
1.000000000000001e-007	6.735933e-010
1.258925411794168e-007	1.180874e-009
1.584893192461115e-007	2.021861e-009
1.995262314968881e-007	3.401285e-009
2.511886431509582e-007	5.646083e-009
3.162277660168382e-007	9.277490e-009
3.981071705534977e-007	1.512547e-008
5.011872336272728e-007	2.451028e-008
6.309573444801939e-007	3.953038e-008
7.943282347242824e-007	6.351915e-008
1.000000000000001e-006	1.017689e-007
1.258925411794169e-006	1.626787e-007
1.584893192461116e-006	2.595737e-007
1.995262314968883e-006	4.135880e-007
2.511886431509584e-006	6.582321e-007
3.162277660168384e-006	1.046625e-006
3.981071705534979e-006	1.662941e-006
5.011872336272732e-006	2.640508e-006
6.309573444801944e-006	4.190374e-006
7.943282347242830e-006	6.646308e-006
1.000000000000002e-005	1.053539e-005
1.258925411794170e-005	1.668809e-005
1.584893192461117e-005	2.640826e-005
1.995262314968884e-005	4.173162e-005
2.511886431509586e-005	6.580910e-005
3.162277660168387e-005	1.034533e-004
3.981071705534982e-005	1.618688e-004
5.011872336272735e-005	2.515275e-004
6.309573444801948e-005	3.870360e-004
7.943282347242836e-005	5.876912e-004
1.000000000000003e-004	8.773819e-004
1.258925411794171e-004	1.283742e-003
1.584893192461118e-004	1.836962e-003
1.995262314968885e-004	2.568946e-003
2.511886431509587e-004	3.513230e-003
3.162277660168389e-004	4.705431e-003
3.981071705534984e-004	6.183715e-003
5.011872336272738e-004	7.988853e-003
6.309573444801953e-004	1.016377e-002
7.943282347242841e-004	1.275261e-002
1.000000000000003e-003	1.579970e-002
1.258925411794171e-003	1.934845e-002
1.584893192461119e-003	2.344071e-002
1.995262314968886e-003	2.811667e-002
2.511886431509589e-003	3.341552e-002
3.162277660168390e-003	3.937694e-002
3.981071705534986e-003	4.604347e-002
5.011872336272740e-003	5.346372e-002
6.309573444801955e-003	6.169648e-002
7.943282347242843e-003	7.081572e-002
1.000000000000000e-002	8.091660e-002
