iy	I(Iz)
1.000000000000000e-008	1.734900e-002
1.258925411794167e-008	1.734857e-002
1.584893192461114e-008	1.734804e-002
1.995262314968880e-008	1.734737e-002
2.511886431509581e-008	1.734652e-002
3.162277660168381e-008	1.734546e-002
3.981071705534974e-008	1.734412e-002
5.011872336272726e-008	1.734244e-002
6.309573444801936e-008	1.734032e-002
7.943282347242821e-008	1.733764e-002
1.000000000000001e-007	1.733428e-002
1.258925411794168e-007	1.733006e-002
1.584893192461115e-007	1.732473e-002
1.995262314968881e-007	1.731803e-002
2.511886431509582e-007	1.730960e-002
3.162277660168382e-007	1.729900e-002
3.981071705534977e-007	1.728566e-002
5.011872336272728e-007	1.726888e-002
6.309573444801939e-007	1.724778e-002
7.943282347242824e-007	1.722126e-002
1.000000000000001e-006	1.718794e-002
1.258925411794169e-006	1.714609e-002
1.584893192461116e-006	1.709357e-002
1.995262314968883e-006	1.702771e-002
2.511886431509584e-006	1.694519e-002
3.162277660168384e-006	1.684196e-002
3.981071705534979e-006	1.671301e-002
5.011872336272732e-006	1.655228e-002
6.309573444801944e-006	1.635248e-002
7.943282347242830e-006	1.610496e-002
1.000000000000002e-005	1.579970e-002
1.258925411794170e-005	1.542536e-002
1.584893192461117e-005	1.496968e-002
1.995262314968884e-005	1.442027e-002
2.511886431509586e-005	1.376595e-002
3.162277660168387e-005	1.299887e-002
3.981071705534982e-005	1.211745e-002
5.011872336272735e-005	1.112951e-002
6.309573444801948e-005	1.005490e-002
7.943282347242836e-005	8.925874e-003
1.000000000000003e-004	7.783977e-003
1.258925411794171e-004	6.673481e-003
1.584893192461118e-004	5.633614e-003
1.995262314968885e-004	4.692614e-003
2.511886431509587e-004	3.865555e-003
3.162277660168389e-004	3.155681e-003
3.981071705534984e-004	2.557630e-003
5.011872336272738e-004	2.060929e-003
6.309573444801953e-004	1.652834e-003
7.943282347242841e-004	1.320248e-003
1.000000000000003e-003	1.050852e-003
1.258925411794171e-003	8.336470e-004
1.584893192461119e-003	6.591409e-004
1.995262314968886e-003	5.193283e-004
2.511886431509589e-003	4.075633e-004
3.162277660168390e-003	3.183909e-004
3.981071705534986e-003	2.473714e-004
5.011872336272740e-003	1.909144e-004
6.309573444801955e-003	1.461305e-004
7.943282347242843e-003	1.107040e-004
1.000000000000000e-002	8.278499e-005
