iy	I(Iz)
1.000000000000000e-008	2.217045e-004
1.258925411794167e-008	2.210986e-004
1.584893192461114e-008	2.203382e-004
1.995262314968880e-008	2.193847e-004
2.511886431509581e-008	2.181903e-004
3.162277660168381e-008	2.166960e-004
3.981071705534974e-008	2.148298e-004
5.011872336272726e-008	2.125042e-004
6.309573444801936e-008	2.096139e-004
7.943282347242821e-008	2.060346e-004
1.000000000000001e-007	2.016224e-004
1.258925411794168e-007	1.962153e-004
1.584893192461115e-007	1.896400e-004
1.995262314968881e-007	1.817240e-004
2.511886431509582e-007	1.723179e-004
3.162277660168382e-007	1.613305e-004
3.981071705534977e-007	1.487754e-004
5.011872336272728e-007	1.348236e-004
6.309573444801939e-007	1.198424e-004
7.943282347242824e-007	1.043894e-004
1.000000000000001e-006	8.913937e-005
1.258925411794169e-006	7.475217e-005
1.584893192461116e-006	6.173785e-005
1.995262314968883e-006	5.038198e-005
2.511886431509584e-006	4.075207e-005
3.162277660168384e-006	3.275701e-005
3.981071705534979e-006	2.621778e-005
5.011872336272732e-006	2.092343e-005
6.309573444801944e-006	1.666581e-005
7.943282347242830e-006	1.325695e-005
1.000000000000002e-005	1.053539e-005
1.258925411794170e-005	8.366517e-006
1.584893192461117e-005	6.640103e-006
1.995262314968884e-005	5.266902e-006
2.511886431509586e-005	4.175170e-006
3.162277660168387e-005	3.307477e-006
3.981071705534982e-005	2.617986e-006
5.011872336272735e-005	2.070171e-006
6.309573444801948e-005	1.634964e-006
7.943282347242836e-005	1.289246e-006
1.000000000000003e-004	1.014640e-006
1.258925411794171e-004	7.965394e-007
1.584893192461118e-004	6.233437e-007
1.995262314968885e-004	4.858377e-007
2.511886431509587e-004	3.767048e-007
3.162277660168389e-004	2.901381e-007
3.981071705534984e-004	2.215314e-007
5.011872336272738e-004	1.672344e-007
6.309573444801953e-004	1.243581e-007
7.943282347242841e-004	9.062138e-008
1.000000000000003e-003	6.422873e-008
1.258925411794171e-003	4.377469e-008
1.584893192461119e-003	2.816822e-008
1.995262314968886e-003	1.657355e-008
2.511886431509589e-003	8.363862e-009
3.162277660168390e-003	3.085154e-009
3.981071705534986e-003	4.272415e-010
5.011872336272740e-003	1.923722e-011
6.309573444801955e-003	5.944539e-011
7.943282347242843e-003	1.100638e-010
1.000000000000000e-002	1.737875e-010
