iy	I(Iz)
1.000000000000000e-008	5.587095e-007
1.258925411794167e-008	5.813297e-007
1.584893192461114e-008	6.086103e-007
1.995262314968880e-008	6.413065e-007
2.511886431509581e-008	6.802362e-007
3.162277660168381e-008	7.262830e-007
3.981071705534974e-008	7.803962e-007
5.011872336272726e-008	8.435959e-007
6.309573444801936e-008	9.169823e-007
7.943282347242821e-008	1.001749e-006
1.000000000000001e-007	1.099200e-006
1.258925411794168e-007	1.210772e-006
1.584893192461115e-007	1.338057e-006
1.995262314968881e-007	1.482828e-006
2.511886431509582e-007	1.647069e-006
3.162277660168382e-007	1.833004e-006
3.981071705534977e-007	2.043132e-006
5.011872336272728e-007	2.280259e-006
6.309573444801939e-007	2.547542e-006
7.943282347242824e-007	2.848529e-006
1.000000000000001e-006	3.187207e-006
1.258925411794169e-006	3.568057e-006
1.584893192461116e-006	3.996108e-006
1.995262314968883e-006	4.477007e-006
2.511886431509584e-006	5.017088e-006
3.162277660168384e-006	5.623454e-006
3.981071705534979e-006	6.304064e-006
5.011872336272732e-006	7.067832e-006
6.309573444801944e-006	7.924733e-006
7.943282347242830e-006	8.885923e-006
1.000000000000002e-005	9.963863e-006
1.258925411794170e-005	1.117245e-005
1.584893192461117e-005	1.252719e-005
1.995262314968884e-005	1.404529e-005
2.511886431509586e-005	1.574585e-005
3.162277660168387e-005	1.765002e-005
3.981071705534982e-005	1.978107e-005
5.011872336272735e-005	2.216451e-005
6.309573444801948e-005	2.482812e-005
7.943282347242836e-005	2.780186e-005
1.000000000000003e-004	3.111766e-005
1.258925411794171e-004	3.480891e-005
1.584893192461118e-004	3.890965e-005
1.995262314968885e-004	4.345315e-005
2.511886431509587e-004	4.846965e-005
3.162277660168389e-004	5.398276e-005
3.981071705534984e-004	6.000390e-005
5.011872336272738e-004	6.652353e-005
6.309573444801953e-004	7.349732e-005
7.943282347242841e-004	8.082407e-005
1.000000000000003e-003	8.830921e-005
1.258925411794171e-003	9.560289e-005
1.584893192461119e-003	1.020884e-004
1.995262314968886e-003	1.066652e-004
2.511886431509589e-003	1.072689e-004
3.162277660168390e-003	9.955159e-005
3.981071705534986e-003	7.099792e-005
5.011872336272740e-003	1.862593e-011
6.309573444801955e-003	5.883277e-011
7.943282347242843e-003	1.094491e-010
1.000000000000000e-002	1.731694e-010
