ix	I(Ix)	I(Iz)
1.000000000000000e-008	1.000000e-008	1.488522e-010
1.258925411794167e-008	1.258925e-008	9.366768e-011
1.584893192461114e-008	1.584893e-008	4.770223e-011
1.995262314968880e-008	1.995262e-008	1.010692e-011
2.511886431509581e-008	2.511886e-008	2.001127e-007
3.162277660168381e-008	3.162278e-008	3.198013e-007
3.981071705534974e-008	3.981072e-008	4.260741e-007
5.011872336272726e-008	5.011872e-008	5.309692e-007
6.309573444801936e-008	6.309573e-008	6.393753e-007
7.943282347242821e-008	7.943282e-008	7.542998e-007
1.000000000000001e-007	1.000000e-007	8.780884e-007
1.258925411794168e-007	1.258925e-007	1.012851e-006
1.584893192461115e-007	1.584893e-007	1.160659e-006
1.995262314968881e-007	1.995262e-007	1.323652e-006
2.511886431509582e-007	2.511887e-007	1.504109e-006
3.162277660168382e-007	3.162278e-007	1.704500e-006
3.981071705534977e-007	3.981072e-007	1.927538e-006
5.011872336272728e-007	5.011872e-007	2.176220e-006
6.309573444801939e-007	6.309573e-007	2.453872e-006
7.943282347242824e-007	7.943282e-007	2.764199e-006
1.000000000000001e-006	1.000000e-006	3.111339e-006
1.258925411794169e-006	1.258925e-006	3.499915e-006
1.584893192461116e-006	1.584893e-006	3.935103e-006
1.995262314968883e-006	1.995262e-006	4.422704e-006
2.511886431509584e-006	2.511886e-006	4.969220e-006
3.162277660168384e-006	3.162278e-006	5.581946e-006
3.981071705534979e-006	3.981072e-006	6.269076e-006
5.011872336272732e-006	5.011872e-006	7.039814e-006
6.309573444801944e-006	6.309574e-006	7.904512e-006
7.943282347242830e-006	7.943282e-006	8.874820e-006
1.000000000000002e-005	1.000000e-005	9.963863e-006
1.258925411794170e-005	1.258925e-005	1.118645e-005
1.584893192461117e-005	1.584893e-005	1.255930e-005
1.995262314968884e-005	1.995262e-005	1.410135e-005
2.511886431509586e-005	2.511886e-005	1.583407e-005
3.162277660168387e-005	3.162278e-005	1.778191e-005
3.981071705534982e-005	3.981072e-005	1.997274e-005
5.011872336272735e-005	5.011872e-005	2.243852e-005
6.309573444801948e-005	6.309574e-005	2.521606e-005
7.943282347242836e-005	7.943282e-005	2.834799e-005
1.000000000000003e-004	1.000000e-004	3.188406e-005
1.258925411794171e-004	1.258925e-004	3.588270e-005
1.584893192461118e-004	1.584893e-004	4.041327e-005
1.995262314968885e-004	1.995262e-004	4.555883e-005
2.511886431509587e-004	2.511886e-004	5.141993e-005
3.162277660168389e-004	3.162278e-004	5.811976e-005
3.981071705534984e-004	3.981072e-004	6.581092e-005
5.011872336272738e-004	5.011872e-004	7.468469e-005
6.309573444801953e-004	6.309574e-004	8.498353e-005
7.943282347242841e-004	7.943282e-004	9.701802e-005
1.000000000000003e-003	1.000000e-003	1.111898e-004
1.258925411794171e-003	1.258925e-003	1.280227e-004
1.584893192461119e-003	1.584893e-003	1.482052e-004
1.995262314968886e-003	1.995262e-003	1.726479e-004
2.511886431509589e-003	2.511886e-003	2.025635e-004
3.162277660168390e-003	3.162278e-003	2.395780e-004
3.981071705534986e-003	3.981072e-003	2.858871e-004
5.011872336272740e-003	5.011872e-003	3.444835e-004
6.309573444801955e-003	6.309574e-003	4.194912e-004
7.943282347242843e-003	7.943282e-003	5.166692e-004
1.000000000000000e-002	1.000000e-002	6.441884e-004
