ix	I(Iz)
1.000000000000000e-008	2.127244e-009
1.258925411794167e-008	1.815003e-009
1.584893192461114e-008	1.513436e-009
1.995262314968880e-008	1.234868e-009
2.511886431509581e-008	9.876640e-010
3.162277660168381e-008	7.753950e-010
3.981071705534974e-008	5.976608e-010
5.011872336272726e-008	4.515152e-010
6.309573444801936e-008	3.328291e-010
7.943282347242821e-008	2.372385e-010
1.000000000000001e-007	1.606644e-010
1.258925411794168e-007	9.953716e-011
1.584893192461115e-007	5.085060e-011
1.995262314968881e-007	1.212974e-011
2.511886431509582e-007	2.454675e-011
3.162277660168382e-007	1.275989e-010
3.981071705534977e-007	3.846889e-010
5.011872336272728e-007	9.101890e-010
6.309573444801939e-007	1.891638e-009
7.943282347242824e-007	3.634169e-009
1.000000000000001e-006	6.631320e-009
1.258925411794169e-006	1.167780e-008
1.584893192461116e-006	2.004887e-008
1.995262314968883e-006	3.378549e-008
2.511886431509584e-006	5.614728e-008
3.162277660168384e-006	9.233179e-008
3.981071705534979e-006	1.506162e-007
5.011872336272732e-006	2.441691e-007
6.309573444801944e-006	3.939249e-007
7.943282347242830e-006	6.331429e-007
1.000000000000002e-005	1.014640e-006
1.258925411794170e-005	1.622256e-006
1.584893192461117e-005	2.589045e-006
1.995262314968884e-005	4.126096e-006
2.511886431509586e-005	6.568231e-006
3.162277660168387e-005	1.044637e-005
3.981071705534982e-005	1.660211e-005
5.011872336272735e-005	2.636872e-005
6.309573444801948e-005	4.185655e-005
7.943282347242836e-005	6.640115e-005
1.000000000000003e-004	1.052620e-004
1.258925411794171e-004	1.667000e-004
1.584893192461118e-004	2.636096e-004
1.995262314968885e-004	4.159148e-004
2.511886431509587e-004	6.539159e-004
3.162277660168389e-004	1.022563e-003
3.981071705534984e-004	1.586061e-003
5.011872336272738e-004	2.431123e-003
6.309573444801953e-004	3.665853e-003
7.943282347242841e-004	5.411087e-003
1.000000000000003e-003	7.783977e-003
1.258925411794171e-003	1.087944e-002
1.584893192461119e-003	1.475850e-002
1.995262314968886e-003	1.944894e-002
2.511886431509589e-003	2.495565e-002
3.162277660168390e-003	3.127436e-002
3.981071705534986e-003	3.840362e-002
5.011872336272740e-003	4.635359e-002
6.309573444801955e-003	5.515223e-002
7.943282347242843e-003	6.485034e-002
1.000000000000000e-002	7.552654e-002
