iy	I(Iz)
1.000000000000000e-008	2.163978e-003
1.258925411794167e-008	2.163397e-003
1.584893192461114e-008	2.162666e-003
1.995262314968880e-008	2.161747e-003
2.511886431509581e-008	2.160589e-003
3.162277660168381e-008	2.159134e-003
3.981071705534974e-008	2.157302e-003
5.011872336272726e-008	2.154999e-003
6.309573444801936e-008	2.152103e-003
7.943282347242821e-008	2.148462e-003
1.000000000000001e-007	2.143888e-003
1.258925411794168e-007	2.138143e-003
1.584893192461115e-007	2.130933e-003
1.995262314968881e-007	2.121891e-003
2.511886431509582e-007	2.110564e-003
3.162277660168382e-007	2.096392e-003
3.981071705534977e-007	2.078691e-003
5.011872336272728e-007	2.056629e-003
6.309573444801939e-007	2.029205e-003
7.943282347242824e-007	1.995235e-003
1.000000000000001e-006	1.953346e-003
1.258925411794169e-006	1.901993e-003
1.584893192461116e-006	1.839513e-003
1.995262314968883e-006	1.764243e-003
2.511886431509584e-006	1.674729e-003
3.162277660168384e-006	1.570047e-003
3.981071705534979e-006	1.450249e-003
5.011872336272732e-006	1.316859e-003
6.309573444801944e-006	1.173254e-003
7.943282347242830e-006	1.024635e-003
1.000000000000002e-005	8.773819e-004
1.258925411794170e-005	7.378282e-004
1.584893192461117e-005	6.109857e-004
1.995262314968884e-005	4.997852e-004
2.511886431509586e-005	4.050753e-004
3.162277660168387e-005	3.261432e-004
3.981071705534982e-005	2.613747e-004
5.011872336272735e-005	2.087958e-004
6.309573444801948e-005	1.664208e-004
7.943282347242836e-005	1.324341e-004
1.000000000000003e-004	1.052620e-004
1.258925411794171e-004	8.358394e-005
1.584893192461118e-004	6.631316e-005
1.995262314968885e-004	5.256640e-005
2.511886431509587e-004	4.163146e-005
3.162277660168389e-004	3.293693e-005
3.981071705534984e-004	2.602591e-005
5.011872336272738e-004	2.053383e-005
6.309573444801953e-004	1.617022e-005
7.943282347242841e-004	1.270386e-005
1.000000000000003e-003	9.950882e-006
1.258925411794171e-003	7.765108e-006
1.584893192461119e-003	6.030405e-006
1.995262314968886e-003	4.654561e-006
2.511886431509589e-003	3.564405e-006
3.162277660168390e-003	2.701923e-006
3.981071705534986e-003	2.021176e-006
5.011872336272740e-003	1.485846e-006
6.309573444801955e-003	1.067275e-006
7.943282347242843e-003	7.429094e-007
1.000000000000000e-002	4.950398e-007
