iy	I(Iz)
1.000000000000000e-008	4.729119e-005
1.258925411794167e-008	4.731900e-005
1.584893192461114e-008	4.735401e-005
1.995262314968880e-008	4.739803e-005
2.511886431509581e-008	4.745339e-005
3.162277660168381e-008	4.752300e-005
3.981071705534974e-008	4.761049e-005
5.011872336272726e-008	4.772040e-005
6.309573444801936e-008	4.785840e-005
7.943282347242821e-008	4.803158e-005
1.000000000000001e-007	4.824870e-005
1.258925411794168e-007	4.852067e-005
1.584893192461115e-007	4.886088e-005
1.995262314968881e-007	4.928584e-005
2.511886431509582e-007	4.981566e-005
3.162277660168382e-007	5.047471e-005
3.981071705534977e-007	5.129234e-005
5.011872336272728e-007	5.230342e-005
6.309573444801939e-007	5.354905e-005
7.943282347242824e-007	5.507701e-005
1.000000000000001e-006	5.694207e-005
1.258925411794169e-006	5.920622e-005
1.584893192461116e-006	6.193852e-005
1.995262314968883e-006	6.521498e-005
2.511886431509584e-006	6.911824e-005
3.162277660168384e-006	7.373750e-005
3.981071705534979e-006	7.916848e-005
5.011872336272732e-006	8.551392e-005
6.309573444801944e-006	9.288437e-005
7.943282347242830e-006	1.013995e-004
1.000000000000002e-005	1.111898e-004
1.258925411794170e-005	1.223986e-004
1.584893192461117e-005	1.351842e-004
1.995262314968884e-005	1.497229e-004
2.511886431509586e-005	1.662112e-004
3.162277660168387e-005	1.848691e-004
3.981071705534982e-005	2.059433e-004
5.011872336272735e-005	2.297103e-004
6.309573444801948e-005	2.564810e-004
7.943282347242836e-005	2.866040e-004
1.000000000000003e-004	3.204711e-004
1.258925411794171e-004	3.585223e-004
1.584893192461118e-004	4.012521e-004
1.995262314968885e-004	4.492165e-004
2.511886431509587e-004	5.030414e-004
3.162277660168389e-004	5.634323e-004
3.981071705534984e-004	6.311865e-004
5.011872336272738e-004	7.072069e-004
6.309573444801953e-004	7.925205e-004
7.943282347242841e-004	8.883007e-004
1.000000000000003e-003	9.958956e-004
1.258925411794171e-003	1.116866e-003
1.584893192461119e-003	1.253033e-003
1.995262314968886e-003	1.406546e-003
2.511886431509589e-003	1.579968e-003
3.162277660168390e-003	1.776397e-003
3.981071705534986e-003	1.999626e-003
5.011872336272740e-003	2.254377e-003
6.309573444801955e-003	2.546606e-003
7.943282347242843e-003	2.883953e-003
1.000000000000000e-002	3.276350e-003
