ix	I(Iz)
1.000000000000000e-008	9.038896e-009
1.258925411794167e-008	8.624017e-009
1.584893192461114e-008	8.133791e-009
1.995262314968880e-008	7.565254e-009
2.511886431509581e-008	6.921592e-009
3.162277660168381e-008	6.214581e-009
3.981071705534974e-008	5.465924e-009
5.011872336272726e-008	4.705833e-009
6.309573444801936e-008	3.968200e-009
7.943282347242821e-008	3.283575e-009
1.000000000000001e-007	2.673278e-009
1.258925411794168e-007	2.147170e-009
1.584893192461115e-007	1.705213e-009
1.995262314968881e-007	1.340846e-009
2.511886431509582e-007	1.044328e-009
3.162277660168382e-007	8.051193e-010
3.981071705534977e-007	6.132457e-010
5.011872336272728e-007	4.599091e-010
6.309573444801939e-007	3.376609e-010
7.943282347242824e-007	2.403473e-010
1.000000000000001e-006	1.629595e-010
1.258925411794169e-006	1.014583e-010
1.584893192461116e-006	5.260536e-011
1.995262314968883e-006	1.381312e-011
2.511886431509584e-006	1.881029e-005
3.162277660168384e-006	3.142867e-005
3.981071705534979e-006	4.237834e-005
5.011872336272732e-006	5.309602e-005
6.309573444801944e-006	6.412299e-005
7.943282347242830e-006	7.577950e-005
1.000000000000002e-005	8.830921e-005
1.258925411794170e-005	1.019278e-004
1.584893192461117e-005	1.168446e-004
1.995262314968884e-005	1.332744e-004
2.511886431509586e-005	1.514447e-004
3.162277660168387e-005	1.716013e-004
3.981071705534982e-005	1.940132e-004
5.011872336272735e-005	2.189768e-004
6.309573444801948e-005	2.468203e-004
7.943282347242836e-005	2.779090e-004
1.000000000000003e-004	3.126500e-004
1.258925411794171e-004	3.514983e-004
1.584893192461118e-004	3.949636e-004
1.995262314968885e-004	4.436177e-004
2.511886431509587e-004	4.981041e-004
3.162277660168389e-004	5.591486e-004
3.981071705534984e-004	6.275726e-004
5.011872336272738e-004	7.043098e-004
6.309573444801953e-004	7.904268e-004
7.943282347242841e-004	8.871490e-004
1.000000000000003e-003	9.958956e-004
1.258925411794171e-003	1.118324e-003
1.584893192461119e-003	1.256390e-003
1.995262314968886e-003	1.412430e-003
2.511886431509589e-003	1.589273e-003
3.162277660168390e-003	1.790393e-003
3.981071705534986e-003	2.020129e-003
5.011872336272740e-003	2.283989e-003
6.309573444801955e-003	2.589088e-003
7.943282347242843e-003	2.944787e-003
1.000000000000000e-002	3.363618e-003
